id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,BRI,427000,RUPIAH,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,PERMATA,0,RUPIAH,2016
84,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,PERMATA,0,RUPIAH,2016
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,NIAGA,0,RUPIAH,2016
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,NIAGA,0,RUPIAH,2016
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BJB,35525100,RUPIAH,2016
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BCA,15076800,RUPIAH,2016
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BNI,7777000,RUPIAH,2016
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BRI,913600,RUPIAH,2016
91,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,PERMATA,0,RUPIAH,2016
92,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,NIAGA,1427700,RUPIAH,2016
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BJB,68179700,RUPIAH,2016
94,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BJB,33827100,RUPIAH,2016
95,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BCA,56336800,RUPIAH,2016
96,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BCA,23676500,RUPIAH,2016
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BNI,61416900,RUPIAH,2016
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BNI,36382100,RUPIAH,2016
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BRI,39627300,RUPIAH,2016
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BRI,13162700,RUPIAH,2016
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,PERMATA,0,RUPIAH,2016
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,PERMATA,0,RUPIAH,2016
103,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,NIAGA,154000,RUPIAH,2016
104,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,NIAGA,5584500,RUPIAH,2016
105,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BJB,45248700,RUPIAH,2016
