id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
3945,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3946,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEDAN, JEEP, MINIBUS",PRIBADI,11490,UNIT,2020
3947,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEDAN, JEEP, MINIBUS",DINAS,447,UNIT,2020
3948,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEDAN, JEEP, MINIBUS",UMUM,760,UNIT,2020
3949,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"BUS, MICROBUS",PRIBADI,140,UNIT,2020
3950,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"BUS, MICROBUS",DINAS,42,UNIT,2020
3951,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"BUS, MICROBUS",UMUM,175,UNIT,2020
3952,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"TRUCK, PICK UP",PRIBADI,2301,UNIT,2020
3953,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"TRUCK, PICK UP",DINAS,217,UNIT,2020
3954,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"TRUCK, PICK UP",UMUM,92,UNIT,2020
3955,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,ALAT BERAT,PRIBADI,0,UNIT,2020
3956,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,ALAT BERAT,DINAS,2,UNIT,2020
3957,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,ALAT BERAT,UMUM,0,UNIT,2020
3958,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEPEDA MOTOR, SCOOTER",PRIBADI,77505,UNIT,2020
3959,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEPEDA MOTOR, SCOOTER",DINAS,2890,UNIT,2020
3960,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG II KWLYN,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3961,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEDAN, JEEP, MINIBUS",PRIBADI,7538,UNIT,2020
3962,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEDAN, JEEP, MINIBUS",DINAS,31,UNIT,2020
