id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
165,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"TRUCK, PICK UP",UMUM,155,UNIT,2013
166,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"TRUCK, PICK UP",PRIBADI,427,UNIT,2013
167,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"TRUCK, PICK UP",DINAS,0,UNIT,2013
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"TRUCK, PICK UP",UMUM,103,UNIT,2013
169,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,ALAT BERAT,PRIBADI,1,UNIT,2013
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,ALAT BERAT,DINAS,0,UNIT,2013
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,ALAT BERAT,UMUM,0,UNIT,2013
172,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,ALAT BERAT,PRIBADI,0,UNIT,2013
173,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,ALAT BERAT,DINAS,0,UNIT,2013
174,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,ALAT BERAT,UMUM,0,UNIT,2013
